timestamp,total_vus_all_runners,request_count,avg_duration_ms,p90_duration_ms,p95_duration_ms,req_failed_rate,cache_hit_rate,db_response_avg_ms,db_response_p95_ms
2026-08-21T01:13:22,0,32,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:23,4,649,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:24,8,1926,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:25,20,4894,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:26,34,5628,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:27,52,7286,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:28,82,12395,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:29,110,15728,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:30,161,21629,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:31,218,32984,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:32,291,36023,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:33,368,45861,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:34,448,55517,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:35,536,62129,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:36,633,78000,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:37,739,101879,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:38,809,109446,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:39,875,118009,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:40,869,112644,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:41,837,107790,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:42,759,87353,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:43,693,78065,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:44,616,68689,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:45,537,57390,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:46,438,44113,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:47,359,34996,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:48,268,29465,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:49,211,21141,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:50,185,17609,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:51,187,15169,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:52,165,13911,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:53,143,12348,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:54,121,9573,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:55,99,7412,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:56,68,3630,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:57,53,2532,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:58,39,1902,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:13:59,25,955,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:14:00,11,243,0.00,0.00,0.00,1.0000,,,
2026-08-21T01:14:01,0,10,0.00,0.00,0.00,1.0000,,,
