timestamp,total_vus_all_runners,request_count,avg_duration_ms,p90_duration_ms,p95_duration_ms,req_failed_rate,cache_hit_rate,db_response_avg_ms,db_response_p95_ms
2026-07-14T11:48:00,0,1,13.72,13.72,13.72,0.0000,1.0000,,
2026-07-14T11:48:01,9,19,13.86,16.82,17.99,0.0000,1.0000,,
2026-07-14T11:48:02,27,48,17.45,19.84,21.62,0.0000,1.0000,,
2026-07-14T11:48:03,49,109,21.30,22.62,28.87,0.0000,1.0000,,
2026-07-14T11:48:04,87,191,22.76,26.09,32.18,0.0000,1.0000,,
2026-07-14T11:48:05,134,269,28.81,28.12,230.64,0.0000,1.0000,,
2026-07-14T11:48:06,188,375,29.33,28.44,181.69,0.0000,1.0000,,
2026-07-14T11:48:07,241,505,34.45,28.12,196.64,0.0079,1.0000,,
2026-07-14T11:48:08,303,624,35.60,29.05,230.22,0.0096,1.0000,,
2026-07-14T11:48:09,366,711,30.74,27.65,181.72,0.0098,1.0000,,
2026-07-14T11:48:10,428,842,40.24,29.60,232.29,0.0214,1.0000,,
2026-07-14T11:48:11,490,918,39.83,30.62,232.35,0.0272,1.0000,,
2026-07-14T11:48:12,555,1055,39.31,30.25,230.78,0.0408,1.0000,,
2026-07-14T11:48:13,620,1206,42.16,167.69,233.14,0.0464,1.0000,,
2026-07-14T11:48:14,685,1315,39.36,166.52,232.14,0.0570,1.0000,,
2026-07-14T11:48:15,751,1419,43.41,178.40,235.67,0.0493,1.0000,,
2026-07-14T11:48:16,818,1526,42.25,189.96,234.78,0.0662,1.0000,,
2026-07-14T11:48:17,881,1651,43.55,190.41,234.81,0.0690,1.0000,,
2026-07-14T11:48:18,950,1772,37.60,174.63,232.08,0.0559,1.0000,,
2026-07-14T11:48:19,1016,1922,42.20,192.18,236.55,0.0692,1.0000,,
2026-07-14T11:48:20,1081,2042,39.43,179.45,233.68,0.0627,1.0000,,
2026-07-14T11:48:21,1147,2195,43.60,193.50,239.94,0.0861,1.0000,,
2026-07-14T11:48:22,1215,2262,38.90,180.08,233.68,0.0672,1.0000,,
