timestamp,total_vus_all_runners,request_count,avg_duration_ms,p90_duration_ms,p95_duration_ms,req_failed_rate,cache_hit_rate,db_response_avg_ms,db_response_p95_ms
2026-08-21T02:21:42,0,1,372.81,372.81,372.81,0.0000,,372.81,372.81
2026-08-21T02:21:43,2,6,465.17,561.36,565.86,0.0000,1.0000,444.13,536.69
2026-08-21T02:21:44,12,14,382.97,432.94,469.54,0.0000,,382.97,469.54
2026-08-21T02:21:45,32,41,529.52,1170.72,1274.14,0.0000,1.0000,539.23,1206.68
2026-08-21T02:21:46,54,88,329.29,385.92,405.29,0.0000,1.0000,378.12,400.80
2026-08-21T02:21:47,83,115,295.58,383.46,423.44,0.0000,1.0000,344.51,395.67
2026-08-21T02:21:48,117,156,274.83,396.64,426.78,0.0000,1.0000,347.87,416.81
2026-08-21T02:21:49,168,253,276.76,485.49,751.59,0.0000,1.0000,394.34,555.89
2026-08-21T02:21:50,243,356,252.76,418.58,639.65,0.0000,1.0000,367.77,460.70
2026-08-21T02:21:51,321,475,242.78,479.96,639.07,0.0000,1.0000,394.98,505.09
2026-08-21T02:21:52,417,539,298.65,596.93,754.87,0.0000,1.0000,508.01,742.14
2026-08-21T02:21:53,524,725,267.25,529.19,741.04,0.0000,1.0000,498.08,825.98
2026-08-21T02:21:54,636,811,231.38,566.48,670.96,0.0000,1.0000,496.51,653.27
2026-08-21T02:21:55,747,903,374.04,888.32,1077.31,0.0000,1.0000,741.91,1174.91
2026-08-21T02:21:56,863,964,342.96,982.89,1156.82,0.0000,1.0000,845.01,1323.95
2026-08-21T02:21:57,978,1047,433.76,1125.50,1265.72,0.0000,1.0000,1009.17,1330.36
2026-08-21T02:21:58,1087,1052,440.88,1241.75,1385.67,0.0000,1.0000,1027.74,1365.08
2026-08-21T02:21:59,1151,1038,528.61,1493.89,1623.00,0.0000,1.0000,1091.61,1713.71
2026-08-21T02:22:00,1137,827,603.62,1847.25,1925.38,0.0000,1.0000,1111.89,1760.30
2026-08-21T02:22:01,1088,801,737.36,2154.63,2270.00,0.0000,1.0000,1239.16,2343.99
2026-08-21T02:22:02,974,712,954.41,2525.55,2619.79,0.0000,1.0000,1550.12,2494.36
2026-08-21T02:22:03,791,611,1059.82,2640.04,2767.59,0.0000,1.0000,1562.45,2713.91
2026-08-21T02:22:04,579,565,907.63,2298.40,2415.19,0.0000,1.0000,1004.13,2103.00
2026-08-21T02:22:05,390,370,577.73,1820.18,2013.43,0.0000,1.0000,619.35,881.21
2026-08-21T02:22:06,238,284,421.64,885.53,1065.47,0.0035,1.0000,591.20,662.69
2026-08-21T02:22:07,148,194,222.19,366.42,395.44,0.0052,1.0000,343.27,396.52
2026-08-21T02:22:08,105,125,258.32,377.48,390.33,0.0080,1.0000,355.55,394.94
2026-08-21T02:22:09,67,78,209.76,454.54,473.59,0.0000,1.0000,354.15,421.10
2026-08-21T02:22:10,42,42,228.17,461.36,481.66,0.0000,1.0000,369.57,401.72
2026-08-21T02:22:11,20,20,225.98,404.75,420.07,0.0000,1.0000,368.62,411.12
2026-08-21T02:22:12,5,2,352.53,613.50,646.12,0.0000,1.0000,678.74,678.74
