timestamp,total_vus_all_runners,request_count,avg_duration_ms,p90_duration_ms,p95_duration_ms,req_failed_rate,cache_hit_rate,db_response_avg_ms,db_response_p95_ms
2026-07-15T12:40:45,1,1,765.22,765.22,765.22,0.0000,,765.22,765.22
2026-07-15T12:40:46,3,4,415.85,625.18,690.96,0.0000,1.0000,448.40,710.79
2026-07-15T12:40:47,8,12,516.01,736.41,756.14,0.0000,1.0000,597.72,762.02
2026-07-15T12:40:48,12,14,301.86,458.97,567.85,0.0000,1.0000,353.21,603.23
2026-07-15T12:40:49,19,25,348.03,703.60,743.31,0.0000,1.0000,389.07,747.76
2026-07-15T12:40:50,26,34,282.92,304.28,590.01,0.0000,1.0000,370.17,733.22
2026-07-15T12:40:51,31,44,285.94,530.49,659.05,0.0000,1.0000,381.80,726.33
2026-07-15T12:40:52,39,53,264.45,287.51,666.35,0.0000,1.0000,294.87,578.81
2026-07-15T12:40:53,46,55,268.68,290.57,587.21,0.0000,1.0000,262.04,291.91
2026-07-15T12:40:54,50,66,260.68,298.32,536.71,0.0000,1.0000,280.10,404.15
2026-07-15T12:40:55,57,78,252.66,270.93,285.81,0.0000,1.0000,276.95,408.43
2026-07-15T12:40:56,61,74,255.94,280.70,290.06,0.0000,1.0000,325.02,715.63
2026-07-15T12:40:57,67,95,263.68,277.97,519.39,0.0000,1.0000,259.69,411.78
2026-07-15T12:40:58,72,98,237.07,269.14,273.21,0.0000,1.0000,241.36,280.72
2026-07-15T12:40:59,79,111,245.27,270.71,276.28,0.0000,1.0000,270.71,364.68
2026-07-15T12:41:00,86,109,247.93,276.90,309.30,0.0000,1.0000,245.70,307.18
2026-07-15T12:41:01,91,129,239.75,268.84,269.83,0.0000,1.0000,240.40,276.99
2026-07-15T12:41:02,99,134,239.36,275.13,281.25,0.0000,1.0000,244.83,287.20
2026-07-15T12:41:03,106,140,241.54,272.07,285.15,0.0000,1.0000,251.39,295.01
2026-07-15T12:41:04,110,148,245.02,274.22,291.87,0.0000,1.0000,256.94,295.36
2026-07-15T12:41:05,117,153,232.03,268.24,271.53,0.0000,1.0000,232.17,281.26
2026-07-15T12:41:06,121,163,237.77,270.84,277.29,0.0000,1.0000,239.91,277.63
2026-07-15T12:41:07,127,182,238.06,271.68,278.83,0.0000,1.0000,244.47,286.33
2026-07-15T12:41:08,132,191,235.49,269.58,278.28,0.0000,1.0000,236.02,281.78
2026-07-15T12:41:09,139,194,235.91,268.16,274.51,0.0000,1.0000,238.86,276.27
2026-07-15T12:41:10,146,195,237.49,275.56,283.91,0.0000,1.0000,249.38,289.47
2026-07-15T12:41:11,151,208,234.83,271.40,276.21,0.0000,1.0000,231.20,280.24
2026-07-15T12:41:12,159,210,239.54,272.19,285.97,0.0000,1.0000,242.81,291.12
2026-07-15T12:41:13,166,241,234.07,269.14,274.52,0.0000,1.0000,240.62,279.33
2026-07-15T12:41:14,170,228,233.00,268.89,276.46,0.0000,1.0000,233.56,277.33
2026-07-15T12:41:15,187,259,234.10,270.29,274.26,0.0000,1.0000,236.43,277.84
2026-07-15T12:41:16,222,307,242.92,272.53,280.04,0.0000,1.0000,258.48,281.68
2026-07-15T12:41:17,312,448,253.38,272.97,282.05,0.0000,1.0000,262.59,286.55
2026-07-15T12:41:18,445,647,252.07,269.74,274.32,0.0000,1.0000,243.64,275.67
