timestamp,total_vus_all_runners,request_count,avg_duration_ms,p90_duration_ms,p95_duration_ms,req_failed_rate,cache_hit_rate,db_response_avg_ms,db_response_p95_ms
2026-08-21T02:45:22,0,6,46.14,101.03,136.98,0.0000,1.0000,,
2026-08-21T02:45:23,6,21,58.23,177.72,184.70,0.0000,1.0000,,
2026-08-21T02:45:24,20,39,166.15,262.58,649.07,0.0000,1.0000,960.25,1523.95
2026-08-21T02:45:25,36,71,187.61,527.22,670.04,0.0000,1.0000,447.49,742.63
2026-08-21T02:45:26,58,104,163.74,358.69,559.33,0.0000,1.0000,319.39,372.73
2026-08-21T02:45:27,81,138,176.16,388.13,611.00,0.0000,1.0000,376.20,586.86
2026-08-21T02:45:28,119,240,133.39,353.52,403.19,0.0000,1.0000,340.88,455.77
2026-08-21T02:45:29,180,299,140.27,321.74,382.86,0.0000,1.0000,330.15,401.15
2026-08-21T02:45:30,245,413,171.48,358.18,580.70,0.0000,1.0000,377.05,506.15
2026-08-21T02:45:31,323,541,171.03,356.52,484.84,0.0000,1.0000,393.71,709.78
2026-08-21T02:45:32,411,675,154.86,345.77,386.43,0.0000,1.0000,363.89,450.51
2026-08-21T02:45:33,509,785,180.22,420.56,499.46,0.0000,1.0000,490.76,1374.18
2026-08-21T02:45:34,616,859,204.35,619.71,762.12,0.0000,1.0000,393.28,566.67
2026-08-21T02:45:35,728,1025,222.29,800.92,860.90,0.0000,1.0000,382.31,503.34
2026-08-21T02:45:36,839,1119,241.31,948.08,1004.30,0.0000,1.0000,428.23,573.51
2026-08-21T02:45:37,954,1146,274.31,1114.22,1203.93,0.0000,1.0000,474.17,747.47
2026-08-21T02:45:38,1038,1177,326.07,1375.65,1450.50,0.0000,1.0000,536.37,973.54
2026-08-21T02:45:39,1054,1143,336.79,1579.70,1657.31,0.0000,1.0000,527.71,1015.12
2026-08-21T02:45:40,1046,1037,439.49,1828.71,1869.14,0.0000,1.0000,619.58,1289.97
2026-08-21T02:45:41,989,877,494.55,2008.88,2097.61,0.0000,1.0000,596.70,1336.82
2026-08-21T02:45:42,887,742,626.23,2174.53,2200.19,0.0000,1.0000,774.27,1576.15
2026-08-21T02:45:43,752,680,721.04,2300.15,2321.94,0.0000,1.0000,768.53,1545.26
2026-08-21T02:45:44,610,644,665.58,2192.67,2253.18,0.0000,1.0000,575.65,1193.79
2026-08-21T02:45:45,458,505,546.51,1616.29,1721.86,0.0000,1.0000,479.47,996.75
2026-08-21T02:45:46,309,386,226.23,633.49,758.60,0.0000,1.0000,462.76,898.36
2026-08-21T02:45:47,221,259,210.68,473.81,511.87,0.0000,1.0000,566.04,2211.68
2026-08-21T02:45:48,153,171,288.41,454.42,1187.58,0.0000,1.0000,857.57,2696.79
2026-08-21T02:45:49,112,102,345.57,438.81,1526.51,0.0000,1.0000,1087.97,4411.85
2026-08-21T02:45:50,80,76,497.41,1480.52,2810.02,0.0000,1.0000,1270.80,3449.76
2026-08-21T02:45:51,53,41,925.43,2686.51,3378.73,0.0000,1.0000,1439.55,2849.18
2026-08-21T02:45:52,21,21,2714.53,6840.61,6890.54,0.0000,1.0000,3909.28,7112.61
2026-08-21T02:45:53,11,4,6542.00,7461.19,7597.08,0.0000,1.0000,5937.29,6738.04
2026-08-21T02:45:54,6,8,8064.59,10000.77,10000.83,0.3750,,6902.96,7668.42
2026-08-21T02:45:56,0,1,10000.42,10000.42,10000.42,1.0000,,,
