timestamp,total_vus_all_runners,request_count,avg_duration_ms,p90_duration_ms,p95_duration_ms,req_failed_rate,cache_hit_rate,db_response_avg_ms,db_response_p95_ms
2026-07-14T11:35:29,0,1,11.87,11.87,11.87,0.0000,1.0000,,
2026-07-14T11:35:30,6,10,11.12,13.71,14.47,0.0000,1.0000,,
2026-07-14T11:35:31,16,32,71.67,30.24,241.52,0.0000,1.0000,1366.91,1366.91
2026-07-14T11:35:32,40,75,26.25,23.00,91.27,0.0000,1.0000,,
2026-07-14T11:35:33,66,113,48.43,236.91,245.71,0.0000,1.0000,313.72,313.72
2026-07-14T11:35:34,95,176,51.40,239.33,249.70,0.0000,1.0000,295.03,298.47
2026-07-14T11:35:35,134,254,33.27,25.02,238.50,0.0000,1.0000,304.06,309.49
2026-07-14T11:35:36,170,324,37.62,188.28,238.72,0.0000,1.0000,294.54,324.64
2026-07-14T11:35:37,221,410,43.61,181.78,244.28,0.0000,1.0000,441.45,756.56
2026-07-14T11:35:38,271,510,45.98,180.81,239.60,0.0000,1.0000,608.70,776.31
2026-07-14T11:35:39,324,603,45.20,185.75,248.75,0.0000,1.0000,462.62,771.01
2026-07-14T11:35:40,383,715,56.34,233.38,254.69,0.0000,1.0000,439.74,732.82
2026-07-14T11:35:41,441,843,42.74,190.71,243.54,0.0000,1.0000,338.87,682.82
2026-07-14T11:35:42,501,940,48.06,211.94,246.96,0.0000,1.0000,377.08,730.04
2026-07-14T11:35:43,561,1049,46.33,212.53,248.42,0.0000,1.0000,336.13,740.72
2026-07-14T11:35:44,621,1150,52.38,234.49,251.32,0.0000,1.0000,343.39,748.06
2026-07-14T11:35:45,678,1271,42.79,190.39,243.93,0.0000,1.0000,305.86,656.65
2026-07-14T11:35:46,730,1334,45.23,223.05,249.38,0.0000,1.0000,292.14,683.73
2026-07-14T11:35:47,776,1454,45.49,225.63,258.67,0.0000,1.0000,285.00,653.40
2026-07-14T11:35:48,813,1533,45.46,223.17,257.67,0.0000,1.0000,263.22,293.71
2026-07-14T11:35:49,854,1547,44.47,222.67,252.46,0.0000,1.0000,267.67,290.94
2026-07-14T11:35:50,882,1626,48.99,228.26,259.27,0.0000,1.0000,268.26,312.69
2026-07-14T11:35:51,917,1677,49.03,230.50,264.48,0.0000,1.0000,273.11,301.09
2026-07-14T11:35:52,944,1742,46.07,231.03,261.06,0.0000,1.0000,263.28,310.17
2026-07-14T11:35:53,977,1808,46.19,224.22,254.00,0.0000,1.0000,268.49,329.45
2026-07-14T11:35:54,1004,1836,50.25,235.88,275.09,0.0000,1.0000,287.06,356.48
2026-07-14T11:35:55,1037,1867,48.35,231.44,268.15,0.0000,1.0000,269.81,304.83
2026-07-14T11:35:56,1064,1924,47.59,226.38,263.17,0.0000,1.0000,266.07,322.91
2026-07-14T11:35:57,1097,2046,49.12,227.00,266.79,0.0000,1.0000,269.16,325.27
2026-07-14T11:35:58,1124,2062,47.59,230.45,269.41,0.0000,1.0000,271.25,322.59
2026-07-14T11:35:59,1157,2143,46.75,225.30,265.39,0.0000,1.0000,267.25,313.33
2026-07-14T11:36:00,1184,2205,44.00,225.75,265.41,0.0000,1.0000,267.63,313.77
2026-07-14T11:36:01,1217,2247,42.94,215.63,257.44,0.0000,1.0000,268.28,321.03
2026-07-14T11:36:02,1244,2308,45.45,226.28,266.71,0.0000,1.0000,271.29,328.91
2026-07-14T11:36:03,1277,2292,48.25,236.85,281.77,0.0000,1.0000,282.86,336.92
2026-07-14T11:36:04,1304,2352,48.81,226.89,315.44,0.0000,1.0000,332.68,422.32
2026-07-14T11:36:05,1333,2446,59.23,247.76,349.67,0.0000,1.0000,349.07,477.79
2026-07-14T11:36:06,1343,2416,50.22,236.16,291.16,0.0000,1.0000,292.42,357.91
2026-07-14T11:36:07,1342,2465,44.54,218.71,266.76,0.0000,1.0000,277.56,340.14
2026-07-14T11:36:08,1323,2416,48.32,234.32,285.27,0.0000,1.0000,287.70,347.40
2026-07-14T11:36:09,1301,2351,49.35,236.91,288.29,0.0000,1.0000,292.34,350.50
2026-07-14T11:36:10,1269,2363,50.05,232.76,281.08,0.0000,1.0000,281.73,342.00
2026-07-14T11:36:11,1218,2212,46.39,224.93,276.05,0.0000,1.0000,281.06,346.42
2026-07-14T11:36:12,1176,2124,49.76,236.12,289.49,0.0000,1.0000,289.61,352.96
2026-07-14T11:36:13,1133,2079,52.73,242.23,316.38,0.0000,1.0000,327.36,438.16
2026-07-14T11:36:14,1083,1906,58.13,249.80,371.67,0.0000,1.0000,379.81,501.82
2026-07-14T11:36:15,1036,1899,56.77,254.45,310.35,0.0000,1.0000,312.52,414.15
2026-07-14T11:36:16,992,1819,42.09,208.24,262.65,0.0000,1.0000,261.14,313.95
2026-07-14T11:36:17,942,1694,46.72,226.16,265.26,0.0000,1.0000,256.71,298.74
2026-07-14T11:36:18,898,1627,48.90,229.00,265.31,0.0000,1.0000,259.31,307.62
2026-07-14T11:36:19,848,1557,45.74,222.32,263.92,0.0000,1.0000,257.35,301.52
2026-07-14T11:36:20,807,1459,45.03,221.24,263.41,0.0007,1.0000,256.85,293.78
2026-07-14T11:36:21,758,1417,42.05,209.07,255.03,0.0000,1.0000,250.91,286.39
2026-07-14T11:36:22,711,1303,44.04,210.16,258.41,0.0000,1.0000,248.59,286.77
2026-07-14T11:36:23,664,1188,42.46,209.44,262.12,0.0000,1.0000,252.75,281.81
2026-07-14T11:36:24,619,1126,42.09,210.62,258.03,0.0000,1.0000,250.66,281.46
2026-07-14T11:36:25,566,1030,46.57,226.23,264.30,0.0000,1.0000,254.31,290.68
2026-07-14T11:36:26,524,953,44.30,213.22,260.66,0.0000,1.0000,250.24,288.20
2026-07-14T11:36:27,475,846,46.64,214.00,264.09,0.0000,1.0000,249.44,280.55
2026-07-14T11:36:28,430,774,39.96,201.95,253.63,0.0000,1.0000,246.48,284.78
2026-07-14T11:36:29,385,725,44.63,210.55,263.14,0.0000,1.0000,244.57,279.64
2026-07-14T11:36:30,336,598,47.45,216.31,259.37,0.0000,1.0000,251.06,282.06
2026-07-14T11:36:31,289,526,46.21,212.52,253.05,0.0000,1.0000,242.87,279.44
2026-07-14T11:36:32,248,435,52.13,235.99,264.58,0.0000,1.0000,249.32,284.19
2026-07-14T11:36:33,195,353,43.54,198.62,256.51,0.0000,1.0000,253.73,291.20
2026-07-14T11:36:34,147,274,49.41,216.66,264.85,0.0000,1.0000,253.33,287.58
2026-07-14T11:36:35,111,175,46.58,213.10,259.89,0.0000,1.0000,250.50,292.86
2026-07-14T11:36:36,71,117,40.75,180.28,237.93,0.0000,1.0000,247.56,267.29
2026-07-14T11:36:37,43,66,57.54,225.26,250.08,0.0000,1.0000,240.93,285.60
2026-07-14T11:36:38,23,34,62.26,215.70,227.90,0.0000,1.0000,226.68,255.21
2026-07-14T11:36:39,10,11,52.24,209.94,212.86,0.0000,1.0000,212.86,215.48
2026-07-14T11:36:40,4,4,107.06,208.06,214.76,0.0000,1.0000,221.45,221.45
2026-07-14T11:36:41,2,1,15.84,15.84,15.84,0.0000,1.0000,,
